Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy,Type
0.4686,0.4857,0.4664,0.1757,0.4756,0.3333,0.476,NuSVClinear
0.4828,0.469,0.4846,0.1745,0.4763,0.5,0.4768,NuSVClinear
0.4775,0.6024,0.461,0.212,0.5269,1.0,0.5317,NuSVClinear
0.4739,0.4429,0.478,0.1644,0.4595,0.5,0.4604,NuSVClinear
0.495,0.4429,0.5019,0.1699,0.4714,0.3333,0.4724,NuSVClinear
0.5281,0.419,0.5425,0.1714,0.476,0.1667,0.4808,NuSVClinear
0.91,0.6222,0.942,0.5792,0.7646,0.5,0.7821,ExtraTreeClassifier
0.5889,0.4056,0.6093,0.1654,0.4968,0.0,0.5074,ExtraTreeClassifier
0.6578,0.2778,0.7,0.1397,0.4409,0.6667,0.4889,ExtraTreeClassifier
0.4617,0.2222,0.4883,0.0766,0.3277,0.5,0.3552,ExtraTreeClassifier
0.7789,0.1889,0.8444,0.146,0.3993,0.0,0.5167,ExtraTreeClassifier
0.4333,0.1889,0.4605,0.0624,0.2946,0.1667,0.3247,ExtraTreeClassifier
0.6039,0.2111,0.6475,0.0937,0.3521,0.5,0.4293,ExtraTreeClassifier
0.7383,0.3444,0.7821,0.2087,0.519,0.3333,0.5633,ExtraTreeClassifier
0.605,0.2889,0.6401,0.1275,0.4294,0.6667,0.4645,ExtraTreeClassifier
0.8678,0.6567,0.91,0.6233,0.7729,0.0,0.7833,ExtraTreeClassifier
0.5383,0.25,0.596,0.1534,0.3852,0.3333,0.423,ExtraTreeClassifier
0.5567,0.28,0.612,0.1731,0.4118,0.8333,0.446,ExtraTreeClassifier
0.4994,0.2967,0.54,0.1649,0.3999,0.3333,0.4183,ExtraTreeClassifier
0.7122,0.0133,0.852,0.0152,0.087,0.0,0.4327,ExtraTreeClassifier
0.7189,0.2733,0.808,0.244,0.4673,0.3333,0.5407,ExtraTreeClassifier
0.7083,0.68,0.714,0.4376,0.6968,0.6667,0.697,ExtraTreeClassifier
0.4278,0.14,0.4853,0.0758,0.2599,0.5,0.3127,ExtraTreeClassifier
0.5261,0.1667,0.598,0.1049,0.3155,0.6667,0.3823,ExtraTreeClassifier
